Region,Latitude,Longitude,VV_Change_dB,VH_Change_dB,Flood_Risk_Score,Flood_Risk_Class,Before_Date,After_Date,Satellite,Product,Source,Spatial_Resolution_m
Nagpur,21.249639,79.063864,0.532,0.04,0.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.064826,-0.448,-0.283,1.2,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.065788,-0.48,-0.075,2.1,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.06675,-0.419,-0.373,3.1,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.067712,0.094,-0.005,3.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.068674,-0.088,0.181,0.3,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.069636,0.101,0.088,2.2,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.070598,-0.24,-0.141,3.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.07156,0.401,0.171,0.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.072522,0.262,0.146,0.3,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.073484,-0.739,0.178,3.9,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.074446,0.215,-0.245,2.3,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.075408,-0.282,-0.202,3.2,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.07637,-0.195,-0.206,2.4,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.077332,-0.524,0.235,0.7,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.078294,0.132,0.174,0.3,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.079256,-0.242,0.115,1.4,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.080218,-0.114,-0.196,2.7,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.08118,-0.646,0.201,0.7,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.082142,0.467,-0.309,2.4,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.083104,0.017,-0.257,2.1,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.084066,-0.253,0.361,2.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.085028,-0.326,-0.151,1.9,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.08599,-0.128,0.263,0.8,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.086952,-0.309,0.292,2.5,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.087914,-0.428,-0.926,8.1,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.088876,0.392,0.447,2.3,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.089838,-0.222,0.08,3.2,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.0908,-0.979,0.629,3.5,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.091762,0.131,-0.002,0.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.092724,-0.623,-0.397,4.2,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.093686,0.018,0.113,1.5,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.094648,0.302,0.48,0.6,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.09561,0.402,0.734,0.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.096572,-0.259,-0.178,0.6,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.097534,-0.108,-0.201,2.7,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.098496,0.01,-0.154,3.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.099458,0.252,-0.291,1.5,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.10042,0.335,0.033,0.6,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.101382,-0.207,0.402,4.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.102344,-0.202,0.404,0.3,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.103306,-0.193,-0.258,4.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.104268,0.284,0.005,1.2,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.10523,-0.064,0.103,1.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.106192,-0.01,0.532,0.8,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.107154,-0.052,-0.259,3.2,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.108116,-0.115,-0.222,1.6,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.109078,0.187,-0.027,1.5,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.11004,0.536,0.024,0.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
