Latitude,Longitude,B02_Blue,B03_Green,B04_Red,B08_NIR,NDVI,NDVI_Class,Satellite,Product,Scene_Date,Cloud_Cover_Percent,Grid_Size_m
21.217475,79.064354,0.245227,0.257382,0.281703,0.312165,0.051797,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217486,79.065317,0.235108,0.246254,0.266635,0.31684,0.087752,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217497,79.06628,0.247309,0.261597,0.288962,0.315888,0.044866,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217508,79.067243,0.223767,0.246091,0.280983,0.312792,0.054103,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217519,79.068206,0.236363,0.247618,0.271884,0.310879,0.06759,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.21753,79.069169,0.239223,0.248973,0.269998,0.311122,0.071225,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217541,79.070132,0.235356,0.247792,0.269237,0.310288,0.072126,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217552,79.071095,0.221403,0.243146,0.266674,0.34232,0.128832,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217563,79.072058,0.241078,0.257945,0.279389,0.336017,0.093897,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217574,79.073021,0.237989,0.256049,0.283016,0.322991,0.066536,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217585,79.073984,0.244212,0.258323,0.28508,0.316135,0.052312,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217596,79.074947,0.240794,0.260174,0.290242,0.327051,0.060183,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217607,79.07591,0.211163,0.229718,0.245607,0.345562,0.172407,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217618,79.076873,0.215375,0.239121,0.262309,0.354015,0.150629,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217629,79.077836,0.224375,0.240284,0.258607,0.338064,0.136606,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.21764,79.078799,0.171762,0.194691,0.196146,0.380086,0.320335,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217651,79.079762,0.161924,0.184535,0.186931,0.347685,0.31015,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217662,79.080725,0.134807,0.159419,0.16111,0.338078,0.352608,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217673,79.081688,0.128133,0.157939,0.147983,0.379524,0.437221,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217684,79.082652,0.133594,0.159779,0.15249,0.384079,0.433209,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217695,79.083615,0.167138,0.19126,0.192195,0.372013,0.318403,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217706,79.084578,0.159824,0.193545,0.202083,0.395232,0.335861,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217717,79.085541,0.135813,0.160101,0.162236,0.380936,0.401513,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217728,79.086504,0.147483,0.178967,0.180062,0.38858,0.37001,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217738,79.087467,0.143548,0.174803,0.173502,0.400366,0.406125,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217749,79.08843,0.127621,0.154882,0.148533,0.398912,0.45663,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.21776,79.089393,0.134364,0.160788,0.159571,0.365756,0.39105,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217771,79.090356,0.145006,0.171095,0.178018,0.326461,0.292402,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217782,79.091319,0.163673,0.187269,0.201653,0.330468,0.240622,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217793,79.092282,0.153504,0.176181,0.184745,0.331599,0.279904,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217804,79.093245,0.144499,0.170513,0.174145,0.348903,0.334683,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217815,79.094208,0.132374,0.156654,0.158754,0.348069,0.373298,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217826,79.095171,0.119748,0.143134,0.132491,0.40123,0.501452,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217836,79.096134,0.116097,0.13939,0.126057,0.417563,0.535047,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217847,79.097097,0.119971,0.141509,0.133427,0.390988,0.488435,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217858,79.098061,0.127757,0.150569,0.149852,0.376443,0.428979,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217869,79.099024,0.127019,0.148295,0.151169,0.351405,0.397192,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.21788,79.099987,0.146532,0.168441,0.17516,0.350873,0.336117,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217891,79.10095,0.157452,0.181331,0.189021,0.34676,0.294515,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217902,79.101913,0.138785,0.169738,0.155648,0.401663,0.441095,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217912,79.102876,0.205804,0.242849,0.270785,0.378567,0.186782,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217923,79.103839,0.262046,0.304205,0.351256,0.378165,0.038367,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217934,79.104802,0.221051,0.256802,0.285735,0.344486,0.092225,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217945,79.105765,0.150956,0.180853,0.179386,0.380038,0.346049,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217956,79.106728,0.163014,0.192721,0.204514,0.369828,0.288817,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217966,79.107691,0.14026,0.166502,0.168148,0.370943,0.368902,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217977,79.108654,0.140403,0.164757,0.176772,0.327161,0.294957,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217988,79.109617,0.132091,0.160612,0.157612,0.370942,0.40109,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217999,79.110581,0.127381,0.155931,0.147417,0.382069,0.442116,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.21801,79.111544,0.128469,0.157999,0.146444,0.393951,0.457025,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.21802,79.112507,0.130176,0.158714,0.147518,0.389657,0.451005,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.218031,79.11347,0.136873,0.163631,0.157307,0.377755,0.413793,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.218042,79.114433,0.13893,0.166467,0.158364,0.391443,0.425399,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
