Latitude,Longitude,Mean_NDBI,Mean_NDVI,BuiltUp_Pixel_Count,Valid_Pixel_Count,BuiltUp_Fraction,BuiltUp_Percent,BuiltUp_Class,Scene_Date,Cloud_Cover_Percent,Satellite
21.24900498045265,78.98051330424043,0.081,0.1219,53,100,0.53,53.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249016517305446,78.98147650752763,0.0748,0.1519,4,100,0.04,4.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249028048662563,78.98243971146339,0.0858,0.1496,12,100,0.12,12.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249039574523994,78.9834029160474,0.0966,0.1397,31,100,0.31,31.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.24905109488972,78.98436612127935,0.0429,0.2353,8,100,0.08,8.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249062609759726,78.98532932715894,0.0585,0.1974,47,100,0.47,47.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249074119134,78.98629253368587,0.0502,0.1842,32,100,0.32,32.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249085623012526,78.98725574085981,0.1152,0.1052,59,100,0.59,59.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249097121395288,78.98821894868045,0.1153,0.1387,54,100,0.54,54.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24910861428226,78.9891821571475,0.1047,0.1816,12,100,0.12,12.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249120101673437,78.99014536626063,0.1277,0.1369,52,100,0.52,52.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249131583568808,78.99110857601957,0.0095,0.2859,0,100,0.0,0.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249143059968354,78.99207178642396,0.0045,0.2657,0,100,0.0,0.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249154530872055,78.99303499747353,0.0062,0.2788,5,100,0.05,5.0,Low Built-up,2026-06-19,1.0,Sentinel-2
