Latitude,Longitude,NDVI_Mean,Green_Cover_Percent,Green_Cover_Area_m2,Green_Cover_Area_ha,Green_Cover_Class,B04_Red_Mean,B08_NIR_Mean,NDVI_Threshold,Satellite,Product,Scene_Date,Cloud_Cover_Percent,Grid_Size_m,Data_Source
21.250787,79.055248,0.103289,0.0,0.0,0.0,No Green Cover,0.297344,0.366209,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250798,79.056211,0.090258,0.0,0.0,0.0,No Green Cover,0.291964,0.349442,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250809,79.057174,0.130427,4.0,400.0,0.04,Low Green Cover,0.26419,0.341888,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.25082,79.058138,0.089579,0.0,0.0,0.0,No Green Cover,0.262715,0.3142,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250831,79.059101,0.086374,0.0,0.0,0.0,No Green Cover,0.251774,0.299407,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250842,79.060064,0.113286,0.0,0.0,0.0,No Green Cover,0.279378,0.349982,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250854,79.061027,0.168362,6.0,600.0,0.06,Low Green Cover,0.259231,0.364451,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250865,79.061991,0.322846,59.0,5900.0,0.59,High Green Cover,0.200094,0.400681,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250876,79.062954,0.114401,0.0,0.0,0.0,No Green Cover,0.267227,0.335777,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250887,79.063917,0.08751,0.0,0.0,0.0,No Green Cover,0.33885,0.398568,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250898,79.064881,0.081836,0.0,0.0,0.0,No Green Cover,0.321327,0.376579,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250909,79.065844,0.199225,20.0,2000.0,0.2,Low Green Cover,0.264977,0.384166,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
