Latitude,Longitude,Mean_NDBI,Mean_NDVI,BuiltUp_Pixel_Count,Valid_Pixel_Count,BuiltUp_Fraction,BuiltUp_Percent,BuiltUp_Class,Scene_Date,Cloud_Cover_Percent,Satellite
21.249462,79.019042,0.1246,0.0752,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249473,79.020005,0.1213,0.0787,93,100,0.93,93.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249485,79.020968,0.1236,0.0705,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249496,79.021932,0.1231,0.0769,93,100,0.93,93.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249507,79.022895,0.1216,0.0726,99,100,0.99,99.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249519,79.023858,0.1226,0.0994,72,100,0.72,72.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24953,79.024821,0.1246,0.086,87,100,0.87,87.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249541,79.025785,0.129,0.0935,85,100,0.85,85.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249553,79.026748,0.113,0.0847,71,100,0.71,71.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249564,79.027711,0.1033,0.1049,50,100,0.5,50.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249575,79.028674,0.1087,0.0666,96,100,0.96,96.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249586,79.029637,0.1063,0.0635,94,100,0.94,94.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249598,79.030601,0.068,0.1087,44,100,0.44,44.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249609,79.031564,0.0986,0.0647,97,100,0.97,97.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24962,79.032527,0.1101,0.0691,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249631,79.03349,0.1068,0.077,91,100,0.91,91.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249643,79.034454,0.0871,0.089,64,100,0.64,64.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249654,79.035417,0.0933,0.0796,77,100,0.77,77.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249665,79.03638,0.0981,0.1301,50,100,0.5,50.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249676,79.037343,0.1145,0.0885,79,100,0.79,79.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249687,79.038307,0.1267,0.0761,96,100,0.96,96.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249699,79.03927,0.1337,0.0742,99,100,0.99,99.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24971,79.040233,0.1263,0.0653,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249721,79.041196,0.1195,0.0574,97,100,0.97,97.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249732,79.04216,0.1222,0.065,98,100,0.98,98.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249743,79.043123,0.1165,0.0725,94,100,0.94,94.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249755,79.044086,0.1223,0.0755,93,100,0.93,93.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249766,79.045049,0.1385,0.0735,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249777,79.046013,0.2983,0.0731,36,68,0.5294,52.94,High Built-up,2026-06-19,1.0,Sentinel-2
21.247707,78.947777,0.0969,0.1125,59,100,0.59,59.0,High Built-up,2026-06-19,1.0,Sentinel-2
