osmid,highway,oneway,reversed,length,name,ref,lanes,bridge,geometry,access,maxspeed,junction,tunnel,width,Latitude,Longitude,Region
27115897,tertiary,False,True,125.074651,,,,,"LINESTRING (79.055578 21.133423, 79.055146 21.134473)",,,,,,21.133948,79.055362,Central
27239006,secondary,True,False,293.204623,North Ambazari Road,,,,"LINESTRING (79.055578 21.133423, 79.057845 21.134714, 79.057994 21.134792)",,,,,,21.13411,79.056785,Central
27239006,secondary,True,False,115.798387,North Ambazari Road,,,,"LINESTRING (79.052232 21.131489, 79.053179 21.13204)",,,,,,21.131764,79.052706,West
93466793,residential,False,True,41.396656,,,,,"LINESTRING (79.052232 21.131489, 79.052016 21.131802)",,,,,,21.131645,79.052124,West
311295626,tertiary,False,False,7.640383,,,,,"LINESTRING (79.073993 21.133755, 79.074022 21.133691)",,,,,,21.133723,79.074008,Central
311295626,tertiary,False,True,95.655758,,,,,"LINESTRING (79.073993 21.133755, 79.073797 21.134595)",,,,,,21.134175,79.073895,Central
779091516,secondary,True,False,243.701933,Central Bazar Road,,,,"LINESTRING (79.073993 21.133755, 79.076204 21.134496)",,,,,,21.134126,79.075099,Central
779091515,secondary,True,False,8.424086,,,,,"LINESTRING (79.06832 21.131881, 79.068308 21.131806)",,,,,,21.131844,79.068314,Central
779091516,secondary,True,False,260.240068,Central Bazar Road,,,,"LINESTRING (79.06832 21.131881, 79.070685 21.132662)",,,,,,21.132272,79.069503,Central
27082729,secondary,True,False,11.961686,South Ambazari Road,,2,,"LINESTRING (79.076091 21.12858, 79.075979 21.128553)",,,,,,21.128566,79.076035,Central
1274948897,trunk,True,False,975.132574,Wardha Road,NH47,,,"LINESTRING (79.076091 21.12858, 79.075934 21.128214, 79.075873 21.128044, 79.075548 21.12714, 79.075335 21.126548, 79.074868 21.125247, 79.074792 21.125058, 79.07446 21.12414, 79.073884 21.122542, 79.073178 21.120834, 79.072962 21.120312)",,80.0,,,,21.124436,79.074554,Central
27082729,secondary,True,False,6.301404,South Ambazari Road,,2,,"LINESTRING (79.068514 21.126865, 79.068455 21.126855)",,,,,,21.12686,79.068484,Central
