osmid,highway,oneway,reversed,length,name,ref,lanes,bridge,geometry,access,maxspeed,junction,tunnel,width,Latitude,Longitude,Region
314126663,residential,False,True,67.00110480670409,,,,,"LINESTRING (79.076698 21.16309, 79.076446 21.163036, 79.076065 21.16297)",,,,,,21.163027040688352,79.07638206376491,Central
314126661,residential,False,False,145.15297748555327,,,,,"LINESTRING (79.074419 21.163801, 79.07576 21.163426)",,,,,,21.163613501396007,79.0750893007402,Central
314126665,residential,False,False,58.73517876108465,,,,,"LINESTRING (79.074419 21.163801, 79.073886 21.16398)",,,,,,21.16389025022283,79.07415235014406,Central
314126665,residential,False,True,127.57660274438706,,,,,"LINESTRING (79.074419 21.163801, 79.074612 21.163598, 79.07473 21.163367, 79.074879 21.163156, 79.075164 21.162902)",,,,,,21.163339647108657,79.0747757843798,Central
314126658,residential,False,True,112.95501999504822,,,,,"LINESTRING (79.071403 21.172915, 79.070329 21.173088)",,,,,,21.17300150087692,79.07086580023903,Central
314126658,residential,False,False,60.43678303067939,,,,,"LINESTRING (79.071403 21.172915, 79.07151 21.17278, 79.071579 21.172689, 79.071671 21.172597, 79.071787 21.172512)",,,,,,21.17270264664896,79.07158266860793,Central
314126660,residential,False,False,149.48920694957604,,,,,"LINESTRING (79.071403 21.172915, 79.071557 21.17386, 79.07197 21.17381)",,,,,,21.173517616838332,79.07156211704911,Central
314126663,residential,False,True,36.60537306633089,,,,,"LINESTRING (79.076065 21.16297, 79.075717 21.162916)",,,,,,21.162943150087212,79.07589074996044,Central
992482886,residential,False,True,40.01115055586233,,,,,"LINESTRING (79.076065 21.16297, 79.076167 21.163317)",,,,,,21.163143950004887,79.07611604994831,Central
314126663,residential,False,False,67.00110480670409,,,,,"LINESTRING (79.076065 21.16297, 79.076446 21.163036, 79.076698 21.16309)",,,,,,21.163027040688352,79.07638206376491,Central
992482886,residential,False,False,26.232739833956828,,,,,"LINESTRING (79.076065 21.16297, 79.076039 21.162898, 79.07604 21.162738)",,,,,,21.16285575742287,79.07604361311778,Central
225644647,tertiary,False,False,34.41107979233443,,,,,"LINESTRING (79.076521 21.17278, 79.076527 21.172591, 79.076531 21.17247)",,,,,,21.17262484102231,79.07652571457804,Central
225644647,tertiary,False,True,94.20884553510149,,,,,"LINESTRING (79.076521 21.17278, 79.076497 21.1734, 79.076465 21.173624)",,,,,,21.173202619500362,79.07650139267123,Central
314126662,residential,False,True,226.98151015201154,,,,,"LINESTRING (79.076521 21.17278, 79.075256 21.173047, 79.075052 21.173087, 79.074369 21.173124)",,,,,,21.172987841084417,79.07545039044894,Central
314126662,residential,False,False,51.37468235213447,,,,,"LINESTRING (79.071906 21.17337, 79.071846 21.172911)",,,,,,21.173140700002065,79.0718757999687,Central
314126662,residential,False,True,49.40426007492964,,,,,"LINESTRING (79.071906 21.17337, 79.07197 21.17381)",,,,,,21.173590100002134,79.07193819996606,Central
